size,thread,i,time
500,1,0,0.24802184104919434
500,1,1,0.20441436767578125
500,1,2,0.20397019386291504
500,1,3,0.2023754119873047
500,1,4,0.11802244186401367
500,1,5,0.11567831039428711
500,1,6,0.11729907989501953
500,1,7,0.11602497100830078
500,1,8,0.11485886573791504
500,1,9,0.11535501480102539
500,1,10,0.11532425880432129
500,1,11,0.11514687538146973
500,1,12,0.11433982849121094
500,1,13,0.14473271369934082
500,1,14,0.14045405387878418
500,1,15,0.14163637161254883
500,1,16,0.14322423934936523
500,1,17,0.14319944381713867
500,1,18,0.14104270935058594
500,1,19,0.14253520965576172
500,1,20,0.18781828880310059
500,1,21,0.18765807151794434
500,1,22,0.18398356437683105
500,1,23,0.18590188026428223
500,1,24,0.18596696853637695
500,1,25,0.1873774528503418
500,1,26,0.139723539352417
500,1,27,0.14157414436340332
500,1,28,0.1405012607574463
500,1,29,0.14021944999694824
500,1,30,0.14005637168884277
500,1,31,0.13987088203430176
500,1,32,0.05501842498779297
500,1,33,0.050852298736572266
500,1,34,0.051552534103393555
500,1,35,0.0522005558013916
500,1,36,0.051748037338256836
500,1,37,0.05086636543273926
500,1,38,0.05146646499633789
500,1,39,0.05050539970397949
500,1,40,0.05204892158508301
500,1,41,0.052294015884399414
500,1,42,0.05336594581604004
500,1,43,0.05167984962463379
500,1,44,0.05254507064819336
500,1,45,0.05171704292297363
500,1,46,0.05242204666137695
500,1,47,0.051017045974731445
500,1,48,0.09067130088806152
500,1,49,0.05443930625915527
500,2,0,0.1829967498779297
500,2,1,0.1546018123626709
500,2,2,0.1311960220336914
500,2,3,0.09339308738708496
500,2,4,0.12491726875305176
500,2,5,0.13188672065734863
500,2,6,0.1401522159576416
500,2,7,0.16075849533081055
500,2,8,0.04365205764770508
500,2,9,0.03502821922302246
500,2,10,0.03080582618713379
500,2,11,0.08312320709228516
500,2,12,0.05762982368469238
500,2,13,0.03736519813537598
500,2,14,0.03673720359802246
500,2,15,0.03370809555053711
500,2,16,0.04022622108459473
500,2,17,0.038933753967285156
500,2,18,0.09354639053344727
500,2,19,0.024816036224365234
500,2,20,0.06719064712524414
500,2,21,0.051802873611450195
500,2,22,0.0472567081451416
500,2,23,0.03533124923706055
500,2,24,0.048351287841796875
500,2,25,0.04165029525756836
500,2,26,0.058571577072143555
500,2,27,0.05763959884643555
500,2,28,0.06662297248840332
500,2,29,0.10409975051879883
500,2,30,0.06707167625427246
500,2,31,0.10440444946289062
500,2,32,0.09833407402038574
500,2,33,0.08263278007507324
500,2,34,0.10480880737304688
500,2,35,0.09599590301513672
500,2,36,0.14108896255493164
500,2,37,0.07547736167907715
500,2,38,0.16655802726745605
500,2,39,0.11999988555908203
500,2,40,0.0859231948852539
500,2,41,0.0818169116973877
500,2,42,0.11821746826171875
500,2,43,0.09566521644592285
500,2,44,0.07252120971679688
500,2,45,0.11413788795471191
500,2,46,0.07012438774108887
500,2,47,0.11066246032714844
500,2,48,0.1116936206817627
500,2,49,0.052512407302856445
500,4,0,0.05692553520202637
500,4,1,0.05235719680786133
500,4,2,0.08375358581542969
500,4,3,0.06888389587402344
500,4,4,0.08135175704956055
500,4,5,0.08405780792236328
500,4,6,0.0774083137512207
500,4,7,0.11323380470275879
500,4,8,0.07465696334838867
500,4,9,0.05573749542236328
500,4,10,0.04918837547302246
500,4,11,0.026453495025634766
500,4,12,0.0686953067779541
500,4,13,0.02355670928955078
500,4,14,0.0575566291809082
500,4,15,0.0386965274810791
500,4,16,0.049761056900024414
500,4,17,0.027894020080566406
500,4,18,0.02603626251220703
500,4,19,0.030588150024414062
500,4,20,0.04423189163208008
500,4,21,0.05684924125671387
500,4,22,0.04431629180908203
500,4,23,0.07196927070617676
500,4,24,0.06246185302734375
500,4,25,0.032804250717163086
500,4,26,0.038800716400146484
500,4,27,0.06817245483398438
500,4,28,0.07419371604919434
500,4,29,0.03723597526550293
500,4,30,0.02299213409423828
500,4,31,0.100067138671875
500,4,32,0.06752514839172363
500,4,33,0.05595755577087402
500,4,34,0.07941818237304688
500,4,35,0.06568288803100586
500,4,36,0.04550290107727051
500,4,37,0.054193973541259766
500,4,38,0.026126384735107422
500,4,39,0.07848739624023438
500,4,40,0.09432840347290039
500,4,41,0.023530006408691406
500,4,42,0.0477147102355957
500,4,43,0.03629946708679199
500,4,44,0.0792996883392334
500,4,45,0.03240561485290527
500,4,46,0.04627799987792969
500,4,47,0.03847146034240723
500,4,48,0.08696794509887695
500,4,49,0.04148459434509277
1000,1,0,0.7959744930267334
1000,1,1,0.8332715034484863
