model,with_features,nc_test_size,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,accuracy
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,-1.0,10.0,13.979912140922647
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,1.0,2.0,61.90512159403924
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,1.0,3.0,50.201411176447735
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,1.0,6.0,34.31127296275296
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,1.0,10.0,27.636446412816063
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,5.0,2.0,82.43328318942079
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,5.0,3.0,77.11787669437949
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,5.0,6.0,67.97171493660976
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,5.0,10.0,61.550978798865856
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,10.0,2.0,87.96110393343325
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,10.0,3.0,84.14760182057971
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,10.0,6.0,77.04390893925051
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,1.1,0.0,10.0,10.0,70.15868310064596
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,-1.0,2.0,62.90991323977713
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,-1.0,3.0,46.295573909316865
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,-1.0,6.0,23.028330425891944
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,-1.0,10.0,13.766358954529057
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,1.0,2.0,60.55773204665071
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,1.0,3.0,50.78578706008032
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,1.0,6.0,38.64316587570351
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,1.0,10.0,28.785220282651615
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,5.0,2.0,83.17901681590492
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,5.0,3.0,75.34731268471366
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,5.0,6.0,70.87230910976824
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,5.0,10.0,64.06452956417469
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,10.0,2.0,88.6228118302048
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,10.0,3.0,80.89158194373559
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,10.0,6.0,77.58582313350308
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,3.0,3.5,2000.0,3.0,0.0,10.0,10.0,73.46082793746093
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,-1.0,2.0,68.58826144091013
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,-1.0,3.0,51.36019205595569
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,-1.0,6.0,26.832478667439965
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,-1.0,10.0,15.724727370107496
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,1.0,2.0,65.82382893270913
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,1.0,3.0,55.36341816571919
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,1.0,6.0,44.89566343385997
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,1.0,10.0,35.93261186511462
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,5.0,2.0,79.80429550557167
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,5.0,3.0,78.17055828904392
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,5.0,6.0,76.40439487064296
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,5.0,10.0,74.76105408644737
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,10.0,2.0,90.4631622995413
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,10.0,3.0,86.92237570153077
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,10.0,6.0,81.55877946586489
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,1.1,0.0,10.0,10.0,78.12973879935797
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,-1.0,2.0,60.47134663611337
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,-1.0,3.0,50.20539324969389
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,-1.0,6.0,26.70617395273498
