size,thread,i,time
500,1,0,0.07472586631774902
500,1,1,0.07236194610595703
500,1,2,0.07229113578796387
500,1,3,0.07223701477050781
500,1,4,0.0719151496887207
500,1,5,0.07232809066772461
500,1,6,0.1612377166748047
500,1,7,0.15995383262634277
500,1,8,0.15915584564208984
500,1,9,0.15619540214538574
500,1,10,0.15950870513916016
500,1,11,0.1600353717803955
500,1,12,0.13287568092346191
500,1,13,0.13773822784423828
500,1,14,0.1385340690612793
500,1,15,0.12609052658081055
500,1,16,0.1292123794555664
500,1,17,0.1334996223449707
500,1,18,0.13083887100219727
500,1,19,0.130218505859375
500,1,20,0.06523942947387695
500,1,21,0.06393861770629883
500,1,22,0.06380677223205566
500,1,23,0.06363916397094727
500,1,24,0.06388139724731445
500,1,25,0.06407618522644043
500,1,26,0.06377005577087402
500,1,27,0.06400322914123535
500,1,28,0.06378555297851562
500,1,29,0.07075953483581543
500,1,30,0.06217551231384277
500,1,31,0.06383275985717773
500,1,32,0.06368088722229004
500,1,33,0.06368660926818848
500,1,34,0.06410789489746094
500,1,35,0.14252567291259766
500,1,36,0.13856220245361328
500,1,37,0.14144515991210938
500,1,38,0.14137864112854004
500,1,39,0.14114856719970703
500,1,40,0.14059066772460938
500,1,41,0.14193487167358398
500,1,42,0.10956549644470215
500,1,43,0.11257553100585938
500,1,44,0.10839629173278809
500,1,45,0.10968303680419922
500,1,46,0.10876607894897461
500,1,47,0.10849523544311523
500,1,48,0.10960030555725098
500,1,49,0.10782933235168457
500,2,0,0.09031391143798828
500,2,1,0.08110427856445312
500,2,2,0.08231091499328613
500,2,3,0.08470940589904785
500,2,4,0.0797276496887207
500,2,5,0.11762285232543945
500,2,6,0.05211949348449707
500,2,7,0.06488966941833496
500,2,8,0.06497001647949219
500,2,9,0.045488595962524414
500,2,10,0.08670377731323242
500,2,11,0.10381960868835449
500,2,12,0.11272978782653809
500,2,13,0.078582763671875
500,2,14,0.07372546195983887
500,2,15,0.058170318603515625
500,2,16,0.055773258209228516
500,2,17,0.04391884803771973
500,2,18,0.06410384178161621
500,2,19,0.023428678512573242
500,2,20,0.041967153549194336
500,2,21,0.08095884323120117
500,2,22,0.07511758804321289
500,2,23,0.05379438400268555
500,2,24,0.0918731689453125
500,2,25,0.05183696746826172
500,2,26,0.06153678894042969
500,2,27,0.06717133522033691
500,2,28,0.04539179801940918
500,2,29,0.07525300979614258
500,2,30,3.5275261402130127
500,2,31,0.0612492561340332
500,2,32,0.1113889217376709
500,2,33,0.09871292114257812
500,2,34,0.1154167652130127
500,2,35,0.07656455039978027
500,2,36,0.0827174186706543
500,2,37,0.025979042053222656
500,2,38,0.05209207534790039
500,2,39,0.02846384048461914
500,2,40,0.05888223648071289
500,2,41,0.06259036064147949
500,2,42,0.01914525032043457
500,2,43,0.049881696701049805
500,2,44,0.045876264572143555
500,2,45,0.019800901412963867
500,2,46,0.030689477920532227
500,2,47,0.06136727333068848
500,2,48,0.02840137481689453
500,2,49,0.11179542541503906
500,4,0,0.04878354072570801
500,4,1,0.026096820831298828
500,4,2,0.04827427864074707
500,4,3,0.05639910697937012
500,4,4,0.052529096603393555
500,4,5,0.08569002151489258
500,4,6,0.03555703163146973
500,4,7,0.07374858856201172
500,4,8,0.03394174575805664
500,4,9,0.03230023384094238
500,4,10,0.0471498966217041
500,4,11,0.033771514892578125
500,4,12,0.02639317512512207
500,4,13,0.05023455619812012
500,4,14,0.04164624214172363
500,4,15,0.026068449020385742
500,4,16,0.06272172927856445
500,4,17,0.05545926094055176
500,4,18,0.032059431076049805
500,4,19,0.06432199478149414
500,4,20,0.04609799385070801
500,4,21,0.0448000431060791
500,4,22,0.0518186092376709
500,4,23,0.023191452026367188
500,4,24,0.060595035552978516
500,4,25,0.06363749504089355
500,4,26,0.028429031372070312
500,4,27,0.047046661376953125
500,4,28,0.0351715087890625
500,4,29,0.05340981483459473
500,4,30,0.037673234939575195
500,4,31,0.05556988716125488
500,4,32,0.03883552551269531
500,4,33,0.06406855583190918
500,4,34,0.05505871772766113
500,4,35,0.060927629470825195
500,4,36,0.024827241897583008
500,4,37,0.03253054618835449
500,4,38,0.02927684783935547
500,4,39,0.030620336532592773
500,4,40,0.038634538650512695
500,4,41,0.04876232147216797
500,4,42,0.06639289855957031
500,4,43,0.07400703430175781
500,4,44,0.03419375419616699
500,4,45,0.05655789375305176
500,4,46,0.0369715690612793
500,4,47,0.04797935485839844
500,4,48,0.027533292770385742
500,4,49,0.027728557586669922
1000,1,0,0.4367094039916992
1000,1,1,0.24176764488220215
1000,1,2,0.24437737464904785
1000,1,3,0.24738621711730957
1000,1,4,0.3679366111755371
1000,1,5,0.3855924606323242
1000,1,6,0.36993980407714844
1000,1,7,0.2899291515350342
1000,1,8,0.289639949798584
1000,1,9,0.2915010452270508
1000,1,10,0.2470264434814453
1000,1,11,0.2466108798980713
1000,1,12,0.246626615524292
1000,1,13,0.24843049049377441
1000,1,14,0.30835461616516113
1000,1,15,0.3019576072692871
1000,1,16,0.30379152297973633
1000,1,17,0.30176448822021484
1000,1,18,0.300400972366333
1000,1,19,0.29988765716552734
1000,1,20,0.3018519878387451
1000,1,21,0.27356863021850586
1000,1,22,0.2735595703125
1000,1,23,0.2878756523132324
1000,1,24,0.38461780548095703
1000,1,25,0.38238072395324707
1000,1,26,0.38461995124816895
1000,1,27,0.541273832321167
1000,1,28,0.582899808883667
1000,1,29,0.29332852363586426
1000,1,30,0.27019786834716797
1000,1,31,0.2788987159729004
1000,1,32,0.14050793647766113
1000,1,33,0.14077210426330566
1000,1,34,0.14161419868469238
1000,1,35,0.14125561714172363
1000,1,36,0.14339804649353027
1000,1,37,0.14264655113220215
1000,1,38,0.38610339164733887
1000,1,39,0.38312411308288574
1000,1,40,0.38384509086608887
1000,1,41,0.34461045265197754
1000,1,42,0.33904576301574707
1000,1,43,0.3466334342956543
1000,1,44,0.35524702072143555
1000,1,45,0.3550732135772705
1000,1,46,0.36177802085876465
1000,1,47,0.2053356170654297
1000,1,48,0.213057279586792
1000,1,49,0.20837187767028809
1000,2,0,0.39113402366638184
1000,2,1,0.1364121437072754
1000,2,2,0.3373596668243408
1000,2,3,0.12947583198547363
1000,2,4,0.1429882049560547
1000,2,5,0.2544870376586914
1000,2,6,0.20711851119995117
1000,2,7,0.12228703498840332
1000,2,8,0.18707752227783203
1000,2,9,0.36571288108825684
1000,2,10,0.09586596488952637
1000,2,11,0.14512872695922852
1000,2,12,0.16978859901428223
1000,2,13,0.3295111656188965
1000,2,14,0.18798208236694336
1000,2,15,0.10472917556762695
1000,2,16,0.1298537254333496
1000,2,17,0.3075087070465088
1000,2,18,0.07715940475463867
1000,2,19,0.1613905429840088
1000,2,20,0.10428094863891602
1000,2,21,0.28777503967285156
1000,2,22,0.3063478469848633
1000,2,23,0.18768882751464844
1000,2,24,0.33437514305114746
1000,2,25,0.20782113075256348
1000,2,26,0.09340500831604004
1000,2,27,0.22498536109924316
1000,2,28,0.1950700283050537
1000,2,29,0.2206120491027832
1000,2,30,0.17986178398132324
1000,2,31,0.21157574653625488
1000,2,32,0.12853312492370605
1000,2,33,0.22312164306640625
1000,2,34,0.22352886199951172
1000,2,35,0.16465091705322266
1000,2,36,0.13281726837158203
1000,2,37,0.10532069206237793
1000,2,38,0.2444005012512207
1000,2,39,0.17107081413269043
1000,2,40,0.20701122283935547
1000,2,41,0.5755860805511475
1000,2,42,0.2406618595123291
1000,2,43,0.17645478248596191
1000,2,44,0.20613646507263184
1000,2,45,0.07167935371398926
1000,2,46,0.20639777183532715
1000,2,47,0.06882357597351074
1000,2,48,0.1719200611114502
1000,2,49,0.1711747646331787
1000,4,0,0.12665629386901855
1000,4,1,0.14803695678710938
1000,4,2,0.07439279556274414
1000,4,3,0.10431456565856934
1000,4,4,0.22115039825439453
1000,4,5,0.10797381401062012
1000,4,6,0.0686197280883789
1000,4,7,0.14429521560668945
1000,4,8,0.15037822723388672
1000,4,9,0.12632298469543457
1000,4,10,0.05691981315612793
1000,4,11,0.08528709411621094
1000,4,12,0.21638154983520508
1000,4,13,0.04459738731384277
1000,4,14,0.1475963592529297
1000,4,15,0.06727099418640137
1000,4,16,0.19266271591186523
1000,4,17,0.15740132331848145
1000,4,18,0.17110371589660645
1000,4,19,0.12210559844970703
1000,4,20,0.07527327537536621
1000,4,21,0.10972762107849121
1000,4,22,0.12336897850036621
1000,4,23,0.08942270278930664
1000,4,24,0.10801124572753906
1000,4,25,0.1156606674194336
1000,4,26,0.09951043128967285
1000,4,27,0.11335134506225586
1000,4,28,0.12120652198791504
1000,4,29,0.07261943817138672
1000,4,30,0.10136795043945312
1000,4,31,0.12535738945007324
1000,4,32,0.10843253135681152
1000,4,33,0.11211037635803223
1000,4,34,0.09191107749938965
1000,4,35,0.13321185111999512
1000,4,36,0.17638635635375977
1000,4,37,0.11948180198669434
1000,4,38,0.08585119247436523
1000,4,39,0.07591557502746582
1000,4,40,0.07334399223327637
1000,4,41,0.07908058166503906
1000,4,42,0.15893173217773438
1000,4,43,0.17729902267456055
1000,4,44,0.09628081321716309
1000,4,45,0.07846784591674805
1000,4,46,0.11898183822631836
1000,4,47,0.18018460273742676
1000,4,48,0.1501142978668213
1000,4,49,0.06194162368774414
2000,1,0,1.133758544921875
2000,1,1,0.8919332027435303
2000,1,2,0.5087239742279053
2000,1,3,0.8913564682006836
2000,1,4,0.4080688953399658
2000,1,5,0.40385866165161133
2000,1,6,0.9964344501495361
2000,1,7,0.9309394359588623
2000,1,8,0.8711204528808594
2000,1,9,0.8811790943145752
2000,1,10,1.1376147270202637
2000,1,11,1.256514072418213
2000,1,12,1.99346923828125
2000,1,13,0.24170231819152832
2000,1,14,0.24085474014282227
2000,1,15,0.2392873764038086
2000,1,16,0.24232006072998047
2000,1,17,0.4050331115722656
2000,1,18,0.39531755447387695
2000,1,19,0.40309572219848633
2000,1,20,0.7497079372406006
2000,1,21,0.34821414947509766
2000,1,22,0.3867146968841553
2000,1,23,0.3486204147338867
2000,1,24,1.0089247226715088
