size,thread,i,time
1000,2,24,0.18173718452453613
1000,2,25,0.12045049667358398
1000,2,26,0.4094510078430176
1000,2,27,0.2576735019683838
1000,2,28,0.2139110565185547
1000,2,29,0.2194042205810547
1000,2,30,0.2071230411529541
1000,2,31,0.21828961372375488
1000,2,32,0.22719311714172363
1000,2,33,0.11192131042480469
1000,2,34,0.1952800750732422
1000,2,35,0.12973761558532715
1000,2,36,0.15143251419067383
1000,2,37,0.22200775146484375
1000,2,38,0.1429588794708252
1000,2,39,0.18122553825378418
1000,2,40,0.15307307243347168
1000,2,41,0.12359046936035156
1000,2,42,0.07620978355407715
1000,2,43,0.23916220664978027
1000,2,44,0.33360815048217773
1000,2,45,0.0602269172668457
1000,2,46,0.31760478019714355
1000,2,47,0.10096979141235352
1000,2,48,0.22283053398132324
1000,2,49,0.22687125205993652
1000,4,0,0.14667081832885742
1000,4,1,0.1111745834350586
1000,4,2,0.1593027114868164
1000,4,3,0.11308598518371582
1000,4,4,0.11958599090576172
1000,4,5,0.07448458671569824
1000,4,6,0.062299489974975586
1000,4,7,0.26177430152893066
1000,4,8,0.13670110702514648
1000,4,9,0.19440269470214844
1000,4,10,0.13028597831726074
1000,4,11,0.21515893936157227
1000,4,12,0.10739302635192871
1000,4,13,0.12599921226501465
1000,4,14,0.0887291431427002
1000,4,15,0.07766556739807129
1000,4,16,0.13637995719909668
1000,4,17,0.0855398178100586
1000,4,18,0.09056353569030762
1000,4,19,0.18312430381774902
1000,4,20,0.08531308174133301
1000,4,21,0.15059137344360352
1000,4,22,0.13648438453674316
1000,4,23,0.06208467483520508
1000,4,24,0.10177803039550781
1000,4,25,0.17069387435913086
1000,4,26,0.1260848045349121
1000,4,27,0.08434629440307617
1000,4,28,0.05469489097595215
1000,4,29,0.09090304374694824
1000,4,30,0.09584736824035645
1000,4,31,0.12516188621520996
1000,4,32,0.04455161094665527
1000,4,33,0.0423734188079834
1000,4,34,0.11172151565551758
1000,4,35,0.08005595207214355
1000,4,36,0.07892251014709473
1000,4,37,0.14826202392578125
1000,4,38,0.16998910903930664
1000,4,39,0.13746953010559082
1000,4,40,0.07957077026367188
1000,4,41,0.13209867477416992
1000,4,42,0.06728458404541016
1000,4,43,0.14916300773620605
1000,4,44,0.18749451637268066
1000,4,45,0.1307539939880371
1000,4,46,0.11378812789916992
1000,4,47,0.11282944679260254
1000,4,48,0.15543198585510254
1000,4,49,0.05008268356323242
2000,1,0,0.9203431606292725
2000,1,1,0.7204642295837402
2000,1,2,1.086658239364624
2000,1,3,0.45264196395874023
2000,1,4,0.46512794494628906
2000,1,5,0.5192723274230957
2000,1,6,0.5140564441680908
2000,1,7,0.2414102554321289
2000,1,8,0.24029898643493652
2000,1,9,0.24382734298706055
2000,1,10,1.2561702728271484
2000,1,11,0.8768963813781738
2000,1,12,0.926769495010376
2000,1,13,0.9823849201202393
2000,1,14,1.6890819072723389
2000,1,15,0.7680613994598389
2000,1,16,0.5606141090393066
2000,1,17,1.820124864578247
2000,1,18,2.051985740661621
2000,1,19,0.6878864765167236
2000,1,20,0.6717696189880371
2000,1,21,0.40609216690063477
2000,1,22,0.4089477062225342
2000,1,23,0.9501302242279053
2000,1,24,0.4513392448425293
2000,1,25,0.46182751655578613
2000,1,26,0.9921483993530273
2000,1,27,0.72263503074646
2000,1,28,0.7243638038635254
2000,1,29,1.5327255725860596
2000,1,30,1.6342122554779053
2000,1,31,0.9966096878051758
2000,1,32,1.310382604598999
