size,thread,i,time
1000,1,0,0.23578524589538574
1000,1,1,0.2409508228302002
1000,1,2,0.24075698852539062
1000,1,3,0.3610055446624756
1000,1,4,0.3639695644378662
1000,1,5,0.34731507301330566
1000,1,6,0.3603203296661377
1000,1,7,0.39600038528442383
1000,1,8,0.37523746490478516
1000,1,9,0.3554201126098633
1000,1,10,0.3532249927520752
1000,1,11,0.1784360408782959
1000,1,12,0.18015503883361816
1000,1,13,0.18155431747436523
1000,1,14,0.18104910850524902
1000,1,15,0.17985033988952637
1000,1,16,0.6248786449432373
1000,1,17,0.6139395236968994
1000,1,18,0.37088561058044434
1000,1,19,0.3748188018798828
1000,2,0,0.23138093948364258
1000,2,1,0.3446640968322754
1000,2,2,0.33521604537963867
1000,2,3,0.47649502754211426
1000,2,4,0.1111762523651123
1000,2,5,0.15850067138671875
1000,2,6,0.2843348979949951
1000,2,7,0.16493558883666992
1000,2,8,0.33807969093322754
1000,2,9,0.4731268882751465
1000,2,10,0.14423513412475586
1000,2,11,0.27806520462036133
1000,2,12,0.1918325424194336
1000,2,13,0.4523782730102539
1000,2,14,0.16060495376586914
1000,2,15,0.18726611137390137
1000,2,16,0.19291329383850098
1000,2,17,0.07483363151550293
1000,2,18,0.16864490509033203
1000,2,19,0.06664586067199707
1000,4,0,0.05521893501281738
1000,4,1,0.1762828826904297
1000,4,2,0.07684874534606934
1000,4,3,0.12821459770202637
1000,4,4,0.2741234302520752
1000,4,5,0.15074539184570312
1000,4,6,0.14072394371032715
1000,4,7,0.12744593620300293
1000,4,8,0.09739875793457031
1000,4,9,0.060674190521240234
1000,4,10,0.18155217170715332
1000,4,11,0.0717477798461914
1000,4,12,0.1233978271484375
1000,4,13,0.1387920379638672
1000,4,14,0.10111212730407715
1000,4,15,0.07179903984069824
1000,4,16,0.1177980899810791
1000,4,17,0.10601449012756348
1000,4,18,0.06133437156677246
1000,4,19,0.14703679084777832
2000,1,0,1.2827587127685547
2000,1,1,0.5100336074829102
2000,1,2,1.174307107925415
2000,1,3,1.5775845050811768
2000,1,4,0.9881434440612793
2000,1,5,0.668311357498169
2000,1,6,0.6169257164001465
2000,1,7,0.9343023300170898
2000,1,8,1.0930416584014893
2000,1,9,0.720494270324707
2000,1,10,0.7189092636108398
2000,1,11,1.318922519683838
2000,1,12,0.6692790985107422
2000,1,13,0.5666666030883789
2000,1,14,0.7199337482452393
2000,1,15,0.7206606864929199
2000,1,16,0.9871730804443359
2000,1,17,0.45337677001953125
2000,1,18,0.4539616107940674
2000,1,19,0.7159683704376221
2000,2,0,1.788407325744629
2000,2,1,0.8930656909942627
2000,2,2,0.7687206268310547
2000,2,3,0.33402371406555176
2000,2,4,0.8524253368377686
2000,2,5,1.0481154918670654
2000,2,6,0.8952248096466064
2000,2,7,0.6007430553436279
2000,2,8,0.8764281272888184
2000,2,9,0.8298642635345459
2000,2,10,0.637596607208252
2000,2,11,0.5719144344329834
2000,2,12,0.6406903266906738
2000,2,13,0.8016555309295654
2000,2,14,1.5547661781311035
2000,2,15,0.9029331207275391
2000,2,16,0.4727966785430908
2000,2,17,0.37723493576049805
2000,2,18,1.3911080360412598
2000,2,19,1.0754742622375488
2000,4,0,0.3132648468017578
2000,4,1,0.738337516784668
2000,4,2,0.7618310451507568
2000,4,3,0.48590898513793945
2000,4,4,0.5437099933624268
2000,4,5,0.27324724197387695
2000,4,6,0.6456196308135986
2000,4,7,0.26535534858703613
2000,4,8,0.5121965408325195
2000,4,9,0.22513389587402344
2000,4,10,0.2930755615234375
2000,4,11,0.2484292984008789
2000,4,12,0.2452700138092041
2000,4,13,0.7107827663421631
2000,4,14,1.0330958366394043
2000,4,15,0.8750813007354736
2000,4,16,0.8059196472167969
2000,4,17,0.8276925086975098
2000,4,18,0.5572285652160645
2000,4,19,0.5271279811859131
5000,1,0,4.262446641921997
5000,1,1,3.0631253719329834
5000,1,2,4.597860097885132
5000,1,3,5.946357011795044
5000,1,4,3.0597596168518066
5000,1,5,9.569390773773193
5000,1,6,5.62549614906311
5000,1,7,6.534886837005615
5000,1,8,7.579356908798218
5000,1,9,4.740069627761841
5000,1,10,6.630495309829712
5000,1,11,9.220943450927734
5000,1,12,5.317993402481079
5000,1,13,7.929835319519043
5000,1,14,2.031940460205078
5000,1,15,2.9920740127563477
5000,1,16,5.633090972900391
5000,1,17,3.356306552886963
5000,1,18,3.0273325443267822
5000,1,19,7.316364765167236
5000,2,0,3.8881726264953613
5000,2,1,3.8509838581085205
5000,2,2,3.221829891204834
5000,2,3,4.954061985015869
5000,2,4,1.5380239486694336
5000,2,5,1.3586502075195312
5000,2,6,3.4806323051452637
5000,2,7,2.420264959335327
5000,2,8,1.5830559730529785
5000,2,9,5.414529800415039
5000,2,10,3.067823886871338
