model,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,with_features,nc_test_size,i,accuracy
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,1.1,0.0,5,3,1,0.7,4.5,79.553
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,1.1,0.0,5,6,1,0.7,4.5,72.42
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,-1,10,1,0.7,4.5,15.482999999999999
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,-1,2,1,0.7,4.5,65.12
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,-1,3,1,0.7,4.5,47.309000000000005
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,-1,6,1,0.7,4.5,24.146
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,1,10,1,0.7,4.5,34.852999999999994
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,1,2,1,0.7,4.5,64.28200000000001
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,1,3,1,0.7,4.5,53.21900000000001
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,1,6,1,0.7,4.5,42.685
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,10,10,1,0.7,4.5,80.82300000000001
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,10,2,1,0.7,4.5,89.908
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,10,3,1,0.7,4.5,83.637
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,10,6,1,0.7,4.5,81.186
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,5,10,1,0.7,4.5,69.624
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,5,2,1,0.7,4.5,84.287
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,5,3,1,0.7,4.5,76.796
SGFormer,1.1,2.1,5000,3,2.1,3,3.5,2000,3,0.0,5,6,1,0.7,4.5,75.662
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,-1,10,1,0.7,4.5,15.481
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,-1,2,1,0.7,4.5,69.42
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,-1,3,1,0.7,4.5,51.064
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,-1,6,1,0.7,4.5,27.560000000000002
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,1,10,1,0.7,4.5,40.354
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,1,2,1,0.7,4.5,67.29299999999999
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,1,3,1,0.7,4.5,56.479
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,1,6,1,0.7,4.5,47.754
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,10,10,1,0.7,4.5,87.485
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,10,2,1,0.7,4.5,92.815
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,10,3,1,0.7,4.5,89.453
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,10,6,1,0.7,4.5,86.346
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,5,10,1,0.7,4.5,80.787
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,5,2,1,0.7,4.5,82.291
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,5,3,1,0.7,4.5,79.545
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,1.1,0.0,5,6,1,0.7,4.5,81.019
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,-1,10,1,0.7,4.5,16.627000000000002
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,-1,2,1,0.7,4.5,60.830999999999996
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,-1,3,1,0.7,4.5,50.614
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,-1,6,1,0.7,4.5,26.719
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,1,10,1,0.7,4.5,39.562
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,1,2,1,0.7,4.5,71.377
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,1,3,1,0.7,4.5,55.891999999999996
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,1,6,1,0.7,4.5,44.495999999999995
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,10,10,1,0.7,4.5,90.711
